Booking Ref.;Customer Ref.;Start location LOCODE;Departure;End location LOCODE;Arrival;Latest Event;Shipping Guarantee;Additional Freetime;Cargo Insurance
61123146;;SAJED;01.03.2022;EGPSD;04.03.2022;Gate out empty at SAJED;AVAILABLE;AVAILABLE;NOT_AVAILABLE
77229134;UMM9;SAJED;09.01.2022;IQUQR;30.01.2022;Gate in empty at IQUQR;NOT_AVAILABLE;NOT_AVAILABLE;NOT_AVAILABLE
77624830;JAWAD;SAJED;23.01.2022;IQUQR;17.02.2022;Loaded at AEJEA;NOT_AVAILABLE;AVAILABLE;NOT_AVAILABLE
77902402;JAZOT;SAJED;12.12.2021;DZALG;15.01.2022;Discharged at DZALG;NOT_AVAILABLE;NOT_AVAILABLE;NOT_AVAILABLE
78211181;TARB;SAJED;04.02.2022;EGPSD;07.02.2022;Discharged at EGPSD;NOT_AVAILABLE;NOT_AVAILABLE;NOT_AVAILABLE
78800705;UMMALQASR;SAJED;01.01.2022;IQUQR;13.01.2022;Arrived;NOT_AVAILABLE;NOT_AVAILABLE;NOT_AVAILABLE
79191954;PORTOT;SAJED;18.01.2022;EGPSD;21.01.2022;Gate in empty at EGPSD;NOT_AVAILABLE;NOT_AVAILABLE;NOT_AVAILABLE
79208536;PS5;SAJED;13.02.2022;EGPSD;15.02.2022;Loaded at SAJED;NOT_AVAILABLE;AVAILABLE;NOT_AVAILABLE
79291360;PSOT;SAJED;01.02.2022;EGPSD;03.02.2022;Discharged at EGPSD;NOT_AVAILABLE;NOT_AVAILABLE;NOT_AVAILABLE
79597744;PS1;SAJED;13.02.2022;EGPSD;15.02.2022;Loaded at SAJED;NOT_AVAILABLE;AVAILABLE;NOT_AVAILABLE
79697446;PS4;SAJED;13.02.2022;EGPSD;15.02.2022;Loaded at SAJED;NOT_AVAILABLE;AVAILABLE;NOT_AVAILABLE
79794411;PS2;SAJED;13.02.2022;EGPSD;15.02.2022;Loaded at SAJED;NOT_AVAILABLE;AVAILABLE;NOT_AVAILABLE